Clothing,,,
,Pattern canvas,,
,Canvas tailor,,
,Lining,,
,Thermoadhesive textile fabric,,
,Thread,,
,Buttons,,
,Zips,,
,Snaps,,
,Scratch,,
,Hooks & eyes,,
,Buckles,,
,Elastic,,
,Twill lace,,
,galloons and ribbons,,
,piping,,
,straps,,
,ropes and halyards,,
,trimming lace,,
,corset stays,,
,shoulder pads,,
,embrodery,,
,embellishment,,
,labels,,
,garment bags,,
,packaging,,
Shoe,,,
,Backstay,,
,Counter,,
,Eyelet,,
,Gore,,
,Heel,,
,Insole,,
,Medallion,,
,Monk Strap,,
,Outsole,,
,Plain-Toe,,
,Saddle,,
,Throat,,
,Toe Cap,,
,Top Lift,,
,Topline,,
,Vamp,,
,Welt,,
,Lining,,
,Filler,,
,Laces,,
Bags,,,
,Body Parts,,
,,Leather,
,,Canvas,
,,Natural Fabric,
,,Nylon Fabric,
,,Webbing,
,,Mesh,
,Metallic Parts,,
,,Rings,
,,Buckles,
,,Lock,
,,Zip Puller,
,,Rivet,
,,Eyelet,
,,Metal Chain,
,,Plastic Chain,
,,Resin Chain,
,,Snap Hook,
,,Base Stud,
,,Buttons,
,,Magnet,
,,Frame,
,,Fastener,
,,Slider,
,Reinforcment,,
,,Suede,
,,Microfiber,
,,Thermo Adhesive Film,
,,Adhesive Tape,
,,Foam,
,,Piping,
,,Non Woven Fabrics,
,,Plastics Reinforcments,
,,Tearproof Nylon,
,,Synderm,
,,Soft or Rigid Plastics,
,Zipper one or 2 Ways,,
,,Nylon Zipper,
,,Metal Zipper,
,,Plastic Zipper,
,,Slider,
,Packaging,,
,,Plastic Bag,
,,Silk Paper ou air Bag,
,,Poutch/Dust Bag,
,,Label Tags,
,,Carton Box,
Upholstery,,,
Packaging,,,
