Fur,,,,,,
,Astrakan,,,,,
,Badger,,,,,
,Beaver Canadia / North American,,,,,
,Bodcat,,,,,
,Chinchilla,,,,,
,Coyote,,,,,
,Ermine,,,,,
,Fisher,,,,,
,Fitch Black,,,,,
,Fitch White,,,,,
,Fox Fur,,,,,
,,Fox Alaska Blue,,,,
,,Fox Amber,,,,
,,Fox Amber Platinum,,,,
,,Fox American Grey,,,,
,,Fox Artic Fire,,,,
,,Fox Artic Golden Island,,,,
,,Fox Artic Marble,,,,
,,Fox Artic Marble Cross,,,,
,,Fox Blue,,,,
,,Fox Blue Shadow,,,,
,,Fox Burgundy,,,,
,,Fox Burgundy Marble,,,,
,,Fox Cross,,,,
,,Fox Fawn Light Shadow,,,,
,,Fox Fire Cross,,,,
,,Fox Fire Gold,,,,
,,Fox Glacier,,,,
,,Fox Gold,,,,
,,Fox Gold Cross,,,,
,,Fox Northern Light,,,,
,,Fox Northern Light Shadow,,,,
,,Fox Pearl,,,,
,,Fox Pearl Cross,,,,
,,Fox Pearl Gold,,,,
,,Fox Platinum,,,,
,,Fox Platinum Blue,,,,
,,Fox Platinum Cross,,,,
,,Fox Platinum Gold,,,,
,,Fox Platinum Polar,,,,
,,Fox Polar Beige,,,,
,,Fox red (Europe),,,,
,,Fox red (North American),,,,
,,Fox Sapphire Blue,,,,
,,Fox Shadow,,,,
,,Fox Shapphire Gold,,,,
,,Fox Silver,,,,
,,Fox sun Glo,,,,
,,Fox Tundra,,,,
,,Fox White,,,,
,Hermine,,,,,
,Kalgan / Tibet Lamb,,,,,
,Karakul,,,,,
,Kidskin,,,,,
,Kolinsky,,,,,
,Leopard Cat,,,,,
,Lynx,,,,,
,Lynx Cat,,,,,
,Marten,,,,,
,,Marten American / Canadian,,,,
,,Marten Baum,,,,
,,Marten Stone,,,,
,Mink,,,,,
,,Mink Black,,,,
,,Mink Black Cross,,,,
,,Mink Blue Iris,,,,
,,Mink Blue Iris Cross,,,,
,,Mink Brown,,,,
,,Mink Dawn,,,,
,,Mink Golden Pearl,,,,
,,Mink Jaguar,,,,
,,Mink Mahogany,,,,
,,Mink Palomino,,,,
,,Mink Palomino Cross,,,,
,,Mink Pastel,,,,
,,Mink Pastel Cross,,,,
,,Mink Pearl Beige,,,,
,,Mink Pearl Cross,,,,
,,Mink Platinblond,,,,
,,Mink Redglow,,,,
,,Mink Sapphire,,,,
,,Mink Sapphire Cross,,,,
,,Mink Silverblue Cross,,,,
,,Mink Silverblue Cross,,,,
,,Mink Stardust,,,,
,,Mink Violet,,,,
,,Mink Volet Cross,,,,
,,Mink White,,,,
,Mole,,,,,
,Muskrat,,,,,
,Nutria,,,,,
,Opossum American,,,,,
,Opossum Australian,,,,,
,Otter,,,,,
,Rabbit,,,,,
,Racoon,,,,,
,,Raccoon American / Canadian,,,,
,,Raccoon Asiatic,,,,
,,Raccoon Chinese,,,,
,,Raccoon Finn,,,,
,,Raccoon Russian,,,,
,Sable,,,,,
,,Sable Canadian,,,,
,,Sable Russian (Wild),,,,
,,Sable Russian (Farmed),,,,
,Squirrel North American,,,,,
,Squirrel Russian / Chinese,,,,,
,Swakara,,,,,
,Tanuki,,,,,
,Weasel,,,,,
,Wolf,,,,,
Leather,,,,,,
,Baby Calf,,,,,
,Bull,,,,,
,Calf,,,,,
,Cow,,,,,
,Croco / Alligator / Caiman,,,,,
,Deer / Elk,,,,,
,Fish Skin,,,,,
,Goat,,,,,
,Horse,,,,,
,Kangourou,,,,,
,Lamb,,,,,
,Lizard,,,,,
,Marten,,,,,
,Metis,,,,,
,Mongolian Lamb,,,,,
,Orylag,,,,,
,Ostrich,,,,,
,Pecari,,,,,
,Pig,,,,,
,Pony,,,,,
,Python,,,,,
,Rabbit,,,,,
,Shark,,,,,
,Shaearling,,,,,
,Sheep,,,,,
,Snake,,,,,
,Stingray,,,,,
,Veg tan Croupon,,,,,
,Water Snake,,,,,
Synthetic,,,,,,
,Faux Fur,,,,,
,,Faux Fox,,,,
,,Faux Mink,,,,
,,Faux Rabbit,,,,
,,Faux Shearling,,,,
,,Faux Sherpa,,,,
,,Faux Chinchilla,,,,
,,Faux Sable,,,,
,,Faux Lynx,,,,
,,Faux Beaver,,,,
,,Faux Ermine,,,,
,,Faux Marten,,,,
,,Faux Leopard,,,,
,,Faux Bear,,,,
,,Faux Husky,,,,
,,Faux Raccoon,,,,
,,Faux fur Mongolian,,,,
,,Faux fur Swakara,,,,
,,Shaearling,,,,
,,Faux fur Tissavel,,,,
,Faux Leather,,,,,
,,Faux Calf,,,,
,,Faux Cow,,,,
,,Faux Croco / Alligator / Caiman,,,,
,,Faux Deer / Elk,,,,
,,Faux Goat,,,,
,,Faux Horse,,,,
,,Faux Lamb,,,,
,,Faux Lizard,,,,
,,Faux Marten,,,,
,,Faux Metis,,,,
,,Faux Mongolian Lamb,,,,
,,Faux Ostrich,,,,
,,Faux Pecari,,,,
,,Faux Pony,,,,
,,Faux Python,,,,
,,Faux Rabbit,,,,
,,Faux Shark,,,,
,,Faux Sheep,,,,
,,Faux Snake,,,,
,,Faux Water Snake,,,,
Fibers,,,,,,
,Natural Fibers,,,,,
,,Animal,,,,
,,,Alpaca,,,
,,,Angora,,,
,,,Byssus,,,
,,,Camel,,,
,,,Cashmere,,,
,,,Chiengora,,,
,,,Llama,,,
,,,Mohair,,,
,,,Qiviut,,,
,,,Silk,,,
,,,Vicuna,,,
,,,Wool,,,
,,,Banana,,,
,,,Coir,,,
,,,Cotton,,,
,,,Flax/Linen,,,
,,,Hemp,,,
,,,Jute,,,
,,,Kapok,,,
,,,Kenaf,,,
,,,Pina,,,
,,,Raffia,,,
,,,Ramie,,,
,,,Sisal,,,
,,,Sugarcane,,,
,Manmade Fibers,,,,,
,,Natural Polymers,,,,
,,,Acetate,,,
,,,Bamboo,,,
,,,Lyocell,,,
,,,Modal,,,
,,,Rayon,,,
,,Synthetic Polymers,,,,
,,,Acrylic,,,
,,,Kevlar,,,
,,,Nomex,,,
,,,Nylon,,,
,,,Polyester,,,
,,,Spandex,,,
Yarns,,,,,,
,Synthetic yarns,,,,,
,,Polyester Yarn,,,,
,,,Polysester Texured,,,
,,,Polyester monofilament,,,
,,Metallic Yarn,,,,
,,,Poly metallic,,,
,,,Nylon metallic,,,
,,,Cotton metallic,,,
,,,MX type,,,
,,,Lurex,,,
,,Nylon yarn,,,,
,,,Nylon DTY,,,
,,,Nylon FDY,,,
,,,Nylon high tenacity,,,
,,,Dyed yarn,,,
,,,Nylon monofilament,,,
,,,Nylon 1 heater wooly,,,
,,Viscose Yarn,,,,
,,,Viscose filament,,,
,,,Viscose spun,,,
,,Spandex yarn,,,,
,,,Barred Spandex,,,
,,,Poly Spandex,,,
,,,Nylon Spandex,,,
,,,Cotton Spandex,,,
,,Blended yarns,,,,
,,,Polycotton blended,,,
,,,Polyviscose blended,,,
,,,Triblends ,,,
,,,Viscose Cotton Blended,,,
,,Other Yarns Misc.,,,,
,,,Polypropylene BCF,,,
,,,Cashmere yarn,,,
,,,Angora yarn,,,
,Cotton Yarn,,,,,
,,Combed Cotton/compact,,,,
,,Carded Cotton,,,,
,,Open End Cotton,,,,
,,Recycled Cotton,,,,
,,Dyed  Cotton Yarn,,,,
,,Organic Cotton Yarn,,,,
,,,,,,
,Wool Yarn,,,,,
,,Worsted Wool,,,,
Fabrics,,,,,,
,Woven,,,,,
,,Cotton Fabrics,,,,
,,,Aertex ,,,
,,,Aida cloth ,,,
,,,Bleached  ,,,
,,,Buckram ,,,
,,,Cambric ,,,
,,,Casement ,,,
,,,Cheese Cloth,,,
,,,Chiffon ,,,
,,,Chintz ,,,
,,,Corduroy ,,,
,,,Crepe ,,,
,,,Denim ,,,
,,,Drill ,,,
,,,Dyed ,,,
,,,embroidered,,,
,,,Flannel ,,,
,,,Gabardine ,,,
,,,Georgette ,,,
,,,Kashmir Silk ,,,
,,,Khadi ,,,
,,,Lawn ,,,
,,,Leno ,,,
,,,Madras Muslin Net ,,,
,,,Mousseline ,,,
,,,Mulmul ,,,
,,,Muslin ,,,
,,,Organdie / Organza ,,,
,,,Poplin ,,,
,,,Printed ,,,
,,,Sheeting ,,,
,,,Taffeta ,,,
,,,Tissue ,,,
,,,Twill,,,
,,,Velvet ,,,
,,,Voile,,,
,,Viscose Fabrics,,,,
,,,Suiting & shirting,,,
,,,Upholstery,,,
,,,Carpets,,,
,,,Wmbroidered,,,
,,Polyester Fabrics,,,,
,,Nylon Fabrics,,,,
,,Blended Fabrics,,,,
,,Spandex fabrics,,,,
,Knitted,,,,,
,,Cotton Fabrics,,,,
,,,Jersey,,,
,,,Dyed fabrics,,,
,,,Printed fabrics,,,
,,,Stretched fabrics,,,
,,,Sarees & dress materials,,,
,,,Fancy,,,
,,,Embroidered,,,
,,Polyester Fabrics,,,,
,,,Dyed fabrics,,,
,,,Printed fabrics,,,
,,,Stretched fabrics,,,
,,,Sarees & dress materials,,,
,,,Fancy,,,
,,,Embroidered,,,
,,Nylon Fabrics,,,,
,,,Dyed fabrics,,,
,,,Printed fabrics,,,
,,,Stretched fabrics,,,
,,Spandex Fabrics,,,,
,,,Cotton Spandex Fabrics,,,
,,,,Denims,,
,,,,Stretched fabrics,,
,,,,Elastic tapes,,
,,,Polyester Spandex fabrics,,,
,,,,Stretched fabrics,,
,,,,Elastic tapes,,
,,,,Elastic tapes crocheted,,
,,,Nylon Spandex Fabrics,,,
,,,,Stretched fabrics,,
,,,,Elastic tapes,,
,,,,Elastic tapes crocheted,,
,,Woolen fabrics,,,,
,,,Sweaters ,,,
,,,Mufflers,,,
,,,Gloves,,,
,Ecological,,,,,
,,Hemp Fabric,,,,
,,,Dyed woven fabrics,,,
,,,Printed woven fabrics,,,
,,,Woven bleached fabric,,,
,,Linen fabric,,,,
,,,Dyed woven fabrics,,,
,,,Printed woven fabric,,,
,,,Woven bleached fabric,,,
,,Soya fabric,,,,
,,,Woven raw fabric,,,
,,,Woven bleached fabric,,,
,,Jute fabric,,,,
,,,Jute fabric raw,,,
,,Blended Fabrics,,,,
,,,Suitings & shirtings,,,
,,,Upholstery fabrics,,,
,,,Carpet fabrics,,,
,,,Embroidered,,,
,Non woven fabric,,,,,
,,Felted ,,,,
,,Bonded ,,,,
,,Laminated,,,,
By product type,,,,,,
,Clothing,,,,,
,,Leather,,,,
,,Synthetic,,,,
,,Natural fibres,,,,
,,Cotton Yarn,,,,
,,Wool Yarn,,,,
,Shoes,,,,,
,,EVA,,,,
,,Fabric,,,,
,,Leather,,,,
,,PU,,,,
,,PVC,,,,
,,Rubber,,,,
,,Synthetic,,,,
,,Vegan,,,,
,,Other + ADD,,,,
,Clutches material,,,,,
,,Jewelled,,,,
,,Satin,,,,
,,Faux Leather,,,,
,,Leather,,,,
,,Fabric,,,,
,,Beaded,,,,
,,Synthetic,,,,
,,Sequinned,,,,
,,Suede,,,,
,,Velvet,,,,
,,Canvas,,,,
,,Silk,,,,
,,Cotton,,,,
,,Faux Fur,,,,
,,Felt,,,,
,,Denim,,,,
,,Flannel,,,,
,,Cork,,,,
,,Rubber,,,,
,,Wool,,,,
,,Cashmere,,,,
,,Hemp,,,,
,,Resin,,,,
,,Wicker,,,,
,Cufflings material,,,,,
,,Leather,,,,
,,Gold,,,,
,,Silver,,,,
,,Titanium,,,,
,,Stainless Steel,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
